Term	Overlap	P-value	Adjusted P-value	Z-score	Combined Score	Genes
regulation of striated muscle tissue development (GO:0016202)	1/112	0.4396003055418639	0.537064586715359	0.6962509454744517	-0.43281529224226706	FGFR2
regulation of lipid biosynthetic process (GO:0046890)	1/113	0.44247637258518285	0.5395855122067243	0.7017312909373122	-0.432935929776938	ABCG1
regulation of microtubule cytoskeleton organization (GO:0070507)	1/100	0.40392492311614936	0.5187739824934684	0.6598528438879532	-0.4330528283075303	DST
regulation of muscle tissue development (GO:1901861)	1/113	0.44247637258518285	0.5395855122067243	0.702084413660753	-0.4331537902551191	FGFR2
embryonic organ development (GO:0048568)	1/119	0.4594295611637565	0.5491609912801567	0.7227171178006975	-0.4331703594304757	FGFR2
positive regulation of immunoglobulin production (GO:0002639)	1/27	0.1333044185184788	0.35619369777170995	0.42001088119564756	-0.4335690849644968	IL33
negative regulation of leukocyte activation (GO:0002695)	1/120	0.4622052270531185	0.5491609912801567	0.7256835114593876	-0.4349483079191698	DUSP3
negative regulation of extrinsic apoptotic signaling pathway (GO:2001237)	1/97	0.3946616443027262	0.5123271394271949	0.6508329304354717	-0.43527180110142516	BCL2L1
cell-matrix adhesion (GO:0007160)	1/100	0.40392492311614936	0.5187739824934684	0.6635445361856172	-0.4354756378862914	PPFIBP2
transition metal ion homeostasis (GO:0055076)	1/120	0.4622052270531185	0.5491609912801567	0.7268432140940506	-0.43564339150680936	FTH1
positive regulation of lipid metabolic process (GO:0045834)	1/103	0.4130483617094412	0.522407832714417	0.6713324460470951	-0.4359006601282095	ABCG1
regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002822)	1/103	0.4130483617094412	0.522407832714417	0.6721363658868312	-0.43642265067237956	IL33
regulation of muscle organ development (GO:0048634)	1/114	0.4453378803410282	0.5405929662640635	0.710469490656055	-0.4370017242820763	FGFR2
T cell receptor signaling pathway (GO:0050852)	1/99	0.4008528050160169	0.5178331955848934	0.664270728327785	-0.4371579644870796	CACNB4
positive regulation of behavior (GO:0048520)	1/107	0.4249990116978224	0.5279688377312518	0.6854949731169488	-0.4378379895266568	LPAR1
toll-like receptor signaling pathway (GO:0002224)	1/122	0.467714455193794	0.5521109302198742	0.7370979529977014	-0.4378408221601602	DUSP3
cellular response to molecule of bacterial origin (GO:0071219)	1/116	0.4510175083429879	0.5435129320140544	0.7184018036603552	-0.4380108575488138	LITAF
iron ion homeostasis (GO:0055072)	1/92	0.3789063365007147	0.5036858503650609	0.6387438620936068	-0.4380521489927648	FTH1
sensory perception of sound (GO:0007605)	1/124	0.47316801147797466	0.5560770966750004	0.7472506576180913	-0.4385228014560087	GJC3
cellular response to lipopolysaccharide (GO:0071222)	1/110	0.4338042010308819	0.5344081437560401	0.7011851732867589	-0.4393594166187533	LITAF
gonad development (GO:0008406)	1/112	0.4396003055418639	0.537064586715359	0.7074206616184151	-0.43975880016643704	BCL2L1
positive regulation of stress-activated protein kinase signaling cascade (GO:0070304)	1/119	0.4594295611637565	0.5491609912801567	0.7337145715579665	-0.4397618332997441	GAB1
regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032434)	1/116	0.4510175083429879	0.5435129320140544	0.7218911160313756	-0.44013829750803873	IL33
negative regulation of lymphocyte activation (GO:0051250)	1/102	0.4100226241433608	0.522407832714417	0.6781388685736236	-0.4403201159282307	DUSP3
potassium ion transmembrane transport (GO:0071805)	1/129	0.48656196565749954	0.5658093611148506	0.7735166479129558	-0.4405162422245401	KCNA1
regulation of adaptive immune response (GO:0002819)	1/112	0.4396003055418639	0.537064586715359	0.7088413742792984	-0.4406419676070119	IL33
negative regulation of protein serine/threonine kinase activity (GO:0071901)	1/118	0.45663976675022316	0.5491609912801567	0.736288411208135	-0.4413044991906154	DUSP3
negative regulation of T cell activation (GO:0050868)	1/73	0.31526085512548485	0.4600729841831252	0.5684345627991613	-0.4413156215654645	DUSP3
signal transduction in response to DNA damage (GO:0042770)	1/106	0.42203404227402913	0.5262546555304326	0.6877871749095329	-0.44153876528537	NDRG1
cellular potassium ion transport (GO:0071804)	1/129	0.48656196565749954	0.5658093611148506	0.7760683834797597	-0.44196945071859395	KCNA1
positive regulation of chemotaxis (GO:0050921)	1/90	0.3724915746324991	0.4976547395492543	0.6334767748021829	-0.44207096688181097	LPAR1
positive regulation of binding (GO:0051099)	1/93	0.3820894197134893	0.5043884188663159	0.6460645167063119	-0.442172134241507	FKBP1A
regulation of cytokine secretion (GO:0050707)	1/106	0.42203404227402913	0.5262546555304326	0.6889933457864685	-0.4423130908604222	IL33
regulation of osteoblast differentiation (GO:0045667)	1/106	0.42203404227402913	0.5262546555304326	0.6901972998645883	-0.44308599331703347	FGFR2
DNA damage response, signal transduction by p53 class mediator (GO:0030330)	1/91	0.37570708180196866	0.5004403256098439	0.6402913705922683	-0.4432525330286408	NDRG1
cellular response to decreased oxygen levels (GO:0036294)	1/101	0.4069815036604511	0.5206853919663574	0.6792922470819821	-0.4433124200752413	NDRG1
negative regulation of ion transport (GO:0043271)	1/94	0.3852564120883877	0.5065549655974048	0.6519309033281393	-0.44339283717324585	FKBP1A
negative regulation of epithelial cell proliferation (GO:0050680)	1/110	0.4338042010308819	0.5344081437560401	0.7078941708548643	-0.44356324375303574	FGFR2
positive regulation of cell division (GO:0051781)	1/120	0.4622052270531185	0.5491609912801567	0.74091065206305	-0.4440749022752838	FGFR2
nucleoside biosynthetic process (GO:0009163)	1/119	0.4594295611637565	0.5491609912801567	0.7410710137018658	-0.4441710172101785	ALDOA
regulation of protein kinase B signaling (GO:0051896)	1/114	0.4453378803410282	0.5405929662640635	0.7228479689216815	-0.44461558584433963	PLEKHA1
positive regulation of cell-substrate adhesion (GO:0010811)	1/93	0.3820894197134893	0.5043884188663159	0.6507792300652416	-0.4453989247776642	EDIL3
negative regulation of inflammatory response (GO:0050728)	1/89	0.36925973359251624	0.4943315788415943	0.6327947549015583	-0.44583476921921505	APOD
positive regulation of stress-activated MAPK cascade (GO:0032874)	1/118	0.45663976675022316	0.5491609912801567	0.744296223075841	-0.4461040904270061	GAB1
regulation of synaptic plasticity (GO:0048167)	1/120	0.4622052270531185	0.5491609912801567	0.7447160452362653	-0.4463557165634968	SLC24A2
negative regulation of signal transduction in absence of ligand (GO:1901099)	1/35	0.16806041659929216	0.3637898369861871	0.4417363273560532	-0.44667447523332743	BCL2L1
release of cytochrome c from mitochondria (GO:0001836)	1/25	0.12439400915192252	0.34777482955611977	0.42321697144303033	-0.44700178645601063	BCL2L1
embryonic organ morphogenesis (GO:0048562)	1/121	0.46496683499257185	0.5503350774243632	0.748587533875565	-0.4470774016815185	FGFR2
response to ethanol (GO:0045471)	1/109	0.4308840163962485	0.5327876850784153	0.7110915912636036	-0.4477262153555576	GSN
regulation of stem cell proliferation (GO:0072091)	1/86	0.35946538695832997	0.4881084191008816	0.6242918639864776	-0.4477531919953976	FGFR2
positive regulation of protein secretion (GO:0050714)	1/106	0.42203404227402913	0.5262546555304326	0.6993860505963543	-0.44898489605995334	IL33
epithelial cell development (GO:0002064)	1/107	0.4249990116978224	0.5279688377312518	0.7030761070019825	-0.4490673764889283	FGFR2
response to estradiol (GO:0032355)	1/100	0.40392492311614936	0.5187739824934684	0.6850810618457626	-0.449609779211031	CRYAB
learning (GO:0007612)	1/115	0.4481849014913049	0.5424144491115834	0.7356594431531878	-0.45002120186678024	SLC24A2
microtubule-based transport (GO:0010970)	1/95	0.38840739383079936	0.5081822847362577	0.6649382139091597	-0.4501066959823186	DST
regulation of exocytosis (GO:0017157)	1/112	0.4396003055418639	0.537064586715359	0.7242469894458287	-0.450218666746616	LGI3
regulation of Ras protein signal transduction (GO:0046578)	1/109	0.4308840163962485	0.5327876850784153	0.7150514602882735	-0.45021947669277673	LPAR1
regulation of stem cell differentiation (GO:2000736)	1/91	0.37570708180196866	0.5004403256098439	0.6503560846348867	-0.4502200015882638	LDLRAD4
antigen processing and presentation of peptide or polysaccharide antigen via MHC class II (GO:0002504)	1/96	0.3915424447614722	0.5108414614018175	0.6704312538940151	-0.45032598385677813	OSBPL1A
positive regulation of synaptic transmission (GO:0050806)	1/85	0.3561673881792618	0.4881084191008816	0.628470630829438	-0.45075027765432674	SLC24A2
response to alkaloid (GO:0043279)	1/111	0.43670960615002324	0.5366313326684504	0.7247197362185864	-0.45109741640534645	BCL2L1
establishment or maintenance of cell polarity (GO:0007163)	1/100	0.40392492311614936	0.5187739824934684	0.687817735726286	-0.4514058226396432	DST
cellular hormone metabolic process (GO:0034754)	1/95	0.38840739383079936	0.5081822847362577	0.6675494375464354	-0.4518742726071231	PLEKHA1
cellular response to hypoxia (GO:0071456)	1/99	0.4008528050160169	0.5178331955848934	0.6868139372242925	-0.4519936977114124	NDRG1
negative regulation of immune response (GO:0050777)	1/103	0.4130483617094412	0.522407832714417	0.6962605512496313	-0.4520866460395305	IL33
epidermis development (GO:0008544)	1/120	0.4622052270531185	0.5491609912801567	0.7548995014064872	-0.45245930987940325	GAB1
response to transition metal nanoparticle (GO:1990267)	1/106	0.42203404227402913	0.5262546555304326	0.7053437193351848	-0.4528095409426796	GATM
negative regulation of response to oxidative stress (GO:1902883)	1/29	0.14212538272983452	0.35814517697385245	0.4410950744371057	-0.45292385599119095	GPR37
purine nucleoside biosynthetic process (GO:0042451)	1/95	0.38840739383079936	0.5081822847362577	0.6706740775422619	-0.4539893885009554	ALDOA
glycosyl compound biosynthetic process (GO:1901659)	1/120	0.4622052270531185	0.5491609912801567	0.7577537139616829	-0.45417002109403104	ALDOA
cytoskeleton-dependent intracellular transport (GO:0030705)	1/104	0.4160587930653229	0.5227304419969241	0.700853899470557	-0.45463646403663655	DST
negative regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002823)	1/27	0.1333044185184788	0.35619369777170995	0.44043351624768773	-0.45465097495475226	IL33
autophagy (GO:0006914)	1/102	0.4100226241433608	0.522407832714417	0.7002875685187648	-0.45470141536328207	VMP1
cellular response to alkaloid (GO:0071312)	1/31	0.15085778731679475	0.3590482924440789	0.4443161467220927	-0.4551123093832278	BCL2L1
positive regulation of mitotic cell cycle (GO:0045931)	1/103	0.4130483617094412	0.522407832714417	0.7011104398282167	-0.4552357112238541	DUSP3
regulation of oligodendrocyte differentiation (GO:0048713)	1/26	0.12886045016304326	0.3509521867107961	0.4353593476326915	-0.4558670737769682	ASPA
negative regulation of intrinsic apoptotic signaling pathway (GO:2001243)	1/75	0.32225234127236374	0.4651642491409772	0.5958742078426589	-0.45606109135728273	BCL2L1
positive regulation of heart growth (GO:0060421)	1/25	0.12439400915192252	0.34777482955611977	0.43224543249507263	-0.45653764747181746	FGFR2
dopamine metabolic process (GO:0042417)	1/28	0.13772602571808826	0.3579259533338967	0.4444584003080868	-0.4566495156555177	GPR37
face morphogenesis (GO:0060325)	1/34	0.16379226074305073	0.3637898369861871	0.4516326442070752	-0.45668142250576665	PLEKHA1
regulation of dendritic spine development (GO:0060998)	1/34	0.16379226074305073	0.3637898369861871	0.4516488166085228	-0.4566977756976653	LPAR1
regulation of lamellipodium organization (GO:1902743)	1/28	0.13772602571808826	0.3579259533338967	0.44459777635206793	-0.45679271466566995	PLXNB3
negative regulation of oxidative stress-induced cell death (GO:1903202)	1/28	0.13772602571808826	0.3579259533338967	0.44484510943908523	-0.4570468318885951	GPR37
negative regulation of cytoskeleton organization (GO:0051494)	1/101	0.4069815036604511	0.5206853919663574	0.7011573857595061	-0.4575818123494094	GSN
unsaturated fatty acid metabolic process (GO:0033559)	1/100	0.40392492311614936	0.5187739824934684	0.697457315779043	-0.4577321534938785	PTGDS
ribonucleoside biosynthetic process (GO:0042455)	1/110	0.4338042010308819	0.5344081437560401	0.730776790323581	-0.4579013882596548	ALDOA
antigen processing and presentation of exogenous peptide antigen via MHC class II (GO:0019886)	1/93	0.3820894197134893	0.5043884188663159	0.6699817635390741	-0.45854130450818303	OSBPL1A
positive regulation of inflammatory response (GO:0050729)	1/88	0.36601147683651786	0.4929647477067908	0.6483204239180154	-0.45856845480976144	IL33
hormone-mediated signaling pathway (GO:0009755)	1/93	0.3820894197134893	0.5043884188663159	0.6703620733027191	-0.4588015917945381	ADIPOR2
regulation of interferon-gamma production (GO:0032649)	1/79	0.336024758797415	0.47171340347036694	0.6107696268849917	-0.4589223261261272	IL33
regulation of mitosis (GO:0007088)	1/112	0.4396003055418639	0.537064586715359	0.7387005326712931	-0.4592035228185926	FGFR2
purine ribonucleoside biosynthetic process (GO:0046129)	1/95	0.38840739383079936	0.5081822847362577	0.6790357769736106	-0.45964954883632714	ALDOA
negative regulation of adaptive immune response (GO:0002820)	1/30	0.14650259997398557	0.3590482924440789	0.4488908901892556	-0.45979821170646384	IL33
cell recognition (GO:0008037)	1/109	0.4308840163962485	0.5327876850784153	0.7304240927747403	-0.4598985822366732	EFNB3
toll-like receptor 4 signaling pathway (GO:0034142)	1/97	0.3946616443027262	0.5123271394271949	0.6878944185741072	-0.4600582246814508	DUSP3
liver development (GO:0001889)	1/86	0.35946538695832997	0.4881084191008816	0.6416637279199028	-0.46021260076845394	QDPR
phototransduction (GO:0007602)	1/109	0.4308840163962485	0.5327876850784153	0.7310984876997526	-0.46032320304662283	PLEKHB1
regulation of axonogenesis (GO:0050770)	1/114	0.4453378803410282	0.5405929662640635	0.7489172105486503	-0.4606504806449478	MBP
negative regulation of calcium ion transport into cytosol (GO:0010523)	1/9	0.04978152532556987	0.3267591077106402	0.41224193403358395	-0.46110581690210406	FKBP1A
mitotic cell cycle checkpoint (GO:0007093)	1/103	0.4130483617094412	0.522407832714417	0.7104624891104894	-0.4613080595509722	BCL2L1
coenzyme biosynthetic process (GO:0009108)	1/98	0.3977650715127783	0.5153483072867996	0.69595536230185	-0.4613573574592379	QDPR
regulation of production of molecular mediator of immune response (GO:0002700)	1/79	0.336024758797415	0.47171340347036694	0.6147383713682009	-0.4619043759365012	IL33
maintenance of location in cell (GO:0051651)	1/103	0.4130483617094412	0.522407832714417	0.712083246937982	-0.4623604284794694	FTH1
regulation of glucose transport (GO:0010827)	1/90	0.3724915746324991	0.4976547395492543	0.6627432751481519	-0.4624945571692836	ADIPOR2
antigen processing and presentation of peptide antigen via MHC class II (GO:0002495)	1/94	0.3852564120883877	0.5065549655974048	0.6811866654573595	-0.4632903375186335	OSBPL1A
mucosal-associated lymphoid tissue development (GO:0048537)	1/9	0.04978152532556987	0.3267591077106402	0.4146873791599222	-0.4638411256603286	CACNB4
odontogenesis (GO:0042476)	1/96	0.3915424447614722	0.5108414614018175	0.690806053316656	-0.4640116548970124	FGFR2
acylglycerol metabolic process (GO:0006639)	1/93	0.3820894197134893	0.5043884188663159	0.6782341398981357	-0.464189302150668	PRKACB
prostate gland epithelium morphogenesis (GO:0060740)	1/26	0.12886045016304326	0.3509521867107961	0.4434283231788849	-0.4643161407158605	FGFR2
regulation of cardiac muscle cell proliferation (GO:0060043)	1/29	0.14212538272983452	0.35814517697385245	0.45219592079330195	-0.4643223921068579	FGFR2
multi-multicellular organism process (GO:0044706)	1/121	0.46496683499257185	0.5503350774243632	0.7779160600356289	-0.4645932173709758	ADIPOR2
response to vitamin (GO:0033273)	1/75	0.32225234127236374	0.4651642491409772	0.607082348840952	-0.4646394069623065	GSN
positive regulation of JNK cascade (GO:0046330)	1/107	0.4249990116978224	0.5279688377312518	0.7277837967903552	-0.4648486231020144	GAB1
regulation of interleukin-6 production (GO:0032675)	1/84	0.35285264237462066	0.4865922212601207	0.6453444995850114	-0.46486025134187453	IL33
interaction with host (GO:0051701)	1/92	0.3789063365007147	0.5036858503650609	0.6784248906105647	-0.4652654982672651	BCL2L1
regulation of embryonic development (GO:0045995)	1/101	0.4069815036604511	0.5206853919663574	0.7135380755110209	-0.4656615652974544	PRKACB
organic hydroxy compound transport (GO:0015850)	1/102	0.4100226241433608	0.522407832714417	0.7176196175556225	-0.46595523105627595	ABCG1
developmental programmed cell death (GO:0010623)	1/27	0.1333044185184788	0.35619369777170995	0.45172806441786506	-0.46631011793050325	CRYAB
cellular amino acid biosynthetic process (GO:0008652)	1/106	0.42203404227402913	0.5262546555304326	0.7267388156823641	-0.4665445519590418	GATM
positive regulation of organ growth (GO:0046622)	1/36	0.17230708393396965	0.3637898369861871	0.4618838538251704	-0.4670472298734245	FGFR2
neutral lipid metabolic process (GO:0006638)	1/94	0.3852564120883877	0.5065549655974048	0.6871563361598455	-0.4673504445272945	PRKACB
regulation of macrophage derived foam cell differentiation (GO:0010743)	1/28	0.13772602571808826	0.3579259533338967	0.454939694665576	-0.4674183029896588	ABCG1
negative regulation of cysteine-type endopeptidase activity (GO:2000117)	1/71	0.30819824445493654	0.45679382660285234	0.5978768709914825	-0.46845036040711774	CRYAB
establishment of vesicle localization (GO:0051650)	1/95	0.38840739383079936	0.5081822847362577	0.6930455177480395	-0.46913295345895334	FGFR2
monocarboxylic acid transport (GO:0015718)	1/104	0.4160587930653229	0.5227304419969241	0.7247609538129551	-0.470144715699316	CACNB4
regulation of reactive oxygen species metabolic process (GO:2000377)	1/81	0.3428070823074686	0.4771989573420527	0.636351136954671	-0.4707864268444084	CRYAB
negative regulation of cellular response to growth factor stimulus (GO:0090288)	1/104	0.4160587930653229	0.5227304419969241	0.7269587427108607	-0.4715703979620494	LDLRAD4
negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090101)	1/107	0.4249990116978224	0.5279688377312518	0.7391682108618436	-0.47212005347638286	LDLRAD4
membrane depolarization (GO:0051899)	1/106	0.42203404227402913	0.5262546555304326	0.73583286115222	-0.47238265676048324	CACNB4
regulation of transforming growth factor beta receptor signaling pathway (GO:0017015)	1/103	0.4130483617094412	0.522407832714417	0.728859692048744	-0.4732534868165795	LDLRAD4
cellular response to reactive oxygen species (GO:0034614)	1/89	0.36925973359251624	0.4943315788415943	0.6722351954000669	-0.4736224832471106	PLEKHA1
regulation of cell-matrix adhesion (GO:0001952)	1/78	0.33260775543838833	0.47039733676483464	0.6281389527743819	-0.47372829272748784	APOD
positive regulation of Ras protein signal transduction (GO:0046579)	1/30	0.14650259997398557	0.3590482924440789	0.46287789877811514	-0.4741250819478473	LPAR1
kidney epithelium development (GO:0072073)	1/62	0.27551703627818197	0.4324900995005031	0.5671528424275663	-0.4753851555493041	FGFR2
regulation of multicellular organism growth (GO:0040014)	1/72	0.31173848478050264	0.45896752526442075	0.6108495824979111	-0.4757148860228859	FGFR2
positive regulation of Wnt signaling pathway (GO:0030177)	1/86	0.35946538695832997	0.4881084191008816	0.6641738887212543	-0.4763572871444294	FGFR2
regulation of fibroblast proliferation (GO:0048145)	1/75	0.32225234127236374	0.4651642491409772	0.6229427755501576	-0.47677841787969544	FTH1
transition metal ion transport (GO:0000041)	1/101	0.4069815036604511	0.5206853919663574	0.73083394042605	-0.4769490071396261	FTH1
regulation of transcription factor import into nucleus (GO:0042990)	1/73	0.31526085512548485	0.4600729841831252	0.6156744931677072	-0.47799129295786363	LITAF
negative regulation of ion transmembrane transporter activity (GO:0032413)	1/35	0.16806041659929216	0.3637898369861871	0.472819837317575	-0.4781054661676128	FKBP1A
regulation of reproductive process (GO:2000241)	1/86	0.35946538695832997	0.4881084191008816	0.6666865932881961	-0.4781594434038517	FGFR2
biomineral tissue development (GO:0031214)	1/71	0.30819824445493654	0.45679382660285234	0.6117216827691336	-0.47929809073703344	FGFR2
negative regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043154)	1/69	0.30106379587309245	0.45227683361930626	0.6041253868002889	-0.4793498265270702	CRYAB
muscle structure development (GO:0061061)	1/109	0.4308840163962485	0.5327876850784153	0.7615552005781812	-0.47949973242309624	CRYAB
epithelial cell proliferation (GO:0050673)	1/73	0.31526085512548485	0.4600729841831252	0.6179531751508369	-0.4797603936099825	FGFR2
negative regulation of immune effector process (GO:0002698)	1/81	0.3428070823074686	0.4771989573420527	0.6491085874629143	-0.4802246665074391	IL33
regulation of steroid metabolic process (GO:0019218)	1/77	0.32917340933295286	0.46737229277908454	0.6315759626947398	-0.4803950801474612	ABCG1
regulation of circadian rhythm (GO:0042752)	1/76	0.3257216336931723	0.46611888959540176	0.6295493994657816	-0.4805442162468518	PTGDS
positive regulation of developmental growth (GO:0048639)	1/71	0.30819824445493654	0.45679382660285234	0.6140386158490043	-0.4811134614077615	FGFR2
central nervous system neuron development (GO:0021954)	1/30	0.14650259997398557	0.3590482924440789	0.4701874448516292	-0.48161223815092996	FGFR2
myeloid leukocyte activation (GO:0002274)	1/86	0.35946538695832997	0.4881084191008816	0.6724769088918466	-0.482312360402705	NDRG1
positive regulation of cytokine secretion (GO:0050715)	1/69	0.30106379587309245	0.45227683361930626	0.6084041546200151	-0.48274486116217874	IL33
negative regulation of lipid metabolic process (GO:0045833)	1/65	0.2865764960549569	0.43996946446356383	0.5879911601025081	-0.4827701146161787	APOD
fertilization (GO:0009566)	1/100	0.40392492311614936	0.5187739824934684	0.7361815256548886	-0.48314634813749047	BCL2L1
tube closure (GO:0060606)	1/77	0.32917340933295286	0.46737229277908454	0.635559447457674	-0.4834250347293155	PRKACB
palate development (GO:0060021)	1/78	0.33260775543838833	0.47039733676483464	0.6412835637952664	-0.4836416631847522	PLEKHA1
regulation of lymphocyte migration (GO:2000401)	1/32	0.1551910541136305	0.3590482924440789	0.47224759602222277	-0.4837224476579318	APOD
negative regulation of cellular response to oxidative stress (GO:1900408)	1/29	0.14212538272983452	0.35814517697385245	0.47130951223011447	-0.4839485499061686	GPR37
molting cycle process (GO:0022404)	1/69	0.30106379587309245	0.45227683361930626	0.6102345991935497	-0.4841972472197131	FGFR2
regulation of protein complex disassembly (GO:0043244)	1/80	0.3394245057700744	0.4754807422601886	0.6513821826350847	-0.4842563380799703	GSN
TRIF-dependent toll-like receptor signaling pathway (GO:0035666)	1/76	0.3257216336931723	0.46611888959540176	0.6346559882020755	-0.48444214972762345	DUSP3
regulation of JUN kinase activity (GO:0043506)	1/75	0.32225234127236374	0.4651642491409772	0.6329813036631775	-0.48446155305585914	GAB1
modification of morphology or physiology of other organism (GO:0035821)	1/76	0.3257216336931723	0.46611888959540176	0.6353118571322187	-0.48494278402457264	BCL2L1
regulation of smooth muscle cell migration (GO:0014910)	1/31	0.15085778731679475	0.3590482924440789	0.4735498474270023	-0.4850563416624579	LPAR1
detection of visible light (GO:0009584)	1/104	0.4160587930653229	0.5227304419969241	0.7478701238421224	-0.48513538830143565	CACNB4
positive regulation of glucose transport (GO:0010828)	1/35	0.16806041659929216	0.3637898369861871	0.4800245122030772	-0.4853906817462593	ADIPOR2
cellular iron ion homeostasis (GO:0006879)	1/67	0.29385678894067985	0.4459906465293975	0.6017094434790935	-0.4858546820680746	FTH1
positive regulation of gliogenesis (GO:0014015)	1/35	0.16806041659929216	0.3637898369861871	0.4805098603408258	-0.4858814555660897	ASPA
negative regulation of purine nucleotide metabolic process (GO:1900543)	1/72	0.31173848478050264	0.45896752526442075	0.6240505564506739	-0.4859954853705184	PLXNB3
regulation of calcium ion transport into cytosol (GO:0010522)	1/72	0.31173848478050264	0.45896752526442075	0.6241505528186713	-0.48607336012425084	FKBP1A
toll-like receptor 3 signaling pathway (GO:0034138)	1/80	0.3394245057700744	0.4754807422601886	0.6542511042133116	-0.4863891772867329	DUSP3
MyD88-dependent toll-like receptor signaling pathway (GO:0002755)	1/82	0.34617257390867395	0.4783737545793122	0.6599498152677229	-0.486622535167014	DUSP3
long-term memory (GO:0007616)	1/28	0.13772602571808826	0.3579259533338967	0.4740590997635013	-0.487062137084227	SGK1
nucleoside monophosphate biosynthetic process (GO:0009124)	1/85	0.3561673881792618	0.4881084191008816	0.6794324438020289	-0.4873009933446474	ALDOA
female pregnancy (GO:0007565)	1/85	0.3561673881792618	0.4881084191008816	0.6794381518811728	-0.48730508728019944	ADIPOR2
regulation of cellular amine metabolic process (GO:0033238)	1/82	0.34617257390867395	0.4783737545793122	0.6609106057743661	-0.48733098647844814	GPR37
lung alveolus development (GO:0048286)	1/38	0.18073637931024317	0.3675618862542158	0.4876068076044543	-0.48802789340226466	FGFR2
neural tube closure (GO:0001843)	1/76	0.3257216336931723	0.46611888959540176	0.6402149927593205	-0.4886854187869551	PRKACB
regulation of anoikis (GO:2000209)	1/20	0.10172077292645426	0.34135867491369254	0.45477548828501807	-0.4888024824392511	BCL2L1
toll-like receptor 2 signaling pathway (GO:0034134)	1/73	0.31526085512548485	0.4600729841831252	0.6297520186636135	-0.4889206634094711	DUSP3
negative regulation of protein kinase B signaling (GO:0051898)	1/28	0.13772602571808826	0.3579259533338967	0.4759167687846128	-0.4889707603842947	PLEKHA1
positive regulation of stem cell proliferation (GO:2000648)	1/64	0.2829086380387722	0.43788190130010424	0.5922831917533533	-0.4891110351845506	FGFR2
negative regulation of nucleotide metabolic process (GO:0045980)	1/75	0.32225234127236374	0.4651642491409772	0.6397207759583777	-0.48961970732679005	PLXNB3
cell-type specific apoptotic process (GO:0097285)	1/86	0.35946538695832997	0.4881084191008816	0.6833963692705957	-0.49014399096125744	BCL2L1
regulation of filopodium assembly (GO:0051489)	1/35	0.16806041659929216	0.3637898369861871	0.48526545607701743	-0.4906902138645057	PPP1R16B
cellular transition metal ion homeostasis (GO:0046916)	1/89	0.36925973359251624	0.4943315788415943	0.6965814066320755	-0.49077557653985343	FTH1
MyD88-independent toll-like receptor signaling pathway (GO:0002756)	1/79	0.336024758797415	0.47171340347036694	0.6531734234813159	-0.4907838465979509	DUSP3
protein tetramerization (GO:0051262)	1/89	0.36925973359251624	0.4943315788415943	0.6968243204449669	-0.4909467211690902	ALDOA
membrane fusion (GO:0061025)	1/89	0.36925973359251624	0.4943315788415943	0.6969990699049897	-0.4910698406870334	GNAI1
positive regulation of small GTPase mediated signal transduction (GO:0051057)	1/35	0.16806041659929216	0.3637898369861871	0.4860122642781352	-0.49144537059642046	LPAR1
renal system process (GO:0003014)	1/71	0.30819824445493654	0.45679382660285234	0.6272800065297706	-0.49148839734801597	SGK1
dicarboxylic acid metabolic process (GO:0043648)	1/87	0.36274672217124043	0.4906357278188935	0.690520291812035	-0.49168726981057104	ASPA
negative regulation of homeostatic process (GO:0032845)	1/86	0.35946538695832997	0.4881084191008816	0.6857990202968428	-0.4918672148703175	FKBP1A
regulation of cell-substrate junction assembly (GO:0090109)	1/36	0.17230708393396965	0.3637898369861871	0.4868304774836785	-0.49227273056566395	APOD
lung development (GO:0030324)	1/82	0.34617257390867395	0.4783737545793122	0.6677842166646667	-0.4923993324038618	FGFR2
triglyceride metabolic process (GO:0006641)	1/87	0.36274672217124043	0.4906357278188935	0.6916394629342494	-0.4924841793294621	PRKACB
negative regulation of ERK1 and ERK2 cascade (GO:0070373)	1/35	0.16806041659929216	0.3637898369861871	0.48727709427124627	-0.4927243400595248	DUSP3
regulation of endothelial cell proliferation (GO:0001936)	1/88	0.36601147683651786	0.4929647477067908	0.6968820388179767	-0.49291694035208644	PLXNB3
male gonad development (GO:0008584)	1/82	0.34617257390867395	0.4783737545793122	0.6687931743052653	-0.493143300374737	BCL2L1
stem cell differentiation (GO:0048863)	1/62	0.27551703627818197	0.4324900995005031	0.5887001664377165	-0.49344603298825435	FGFR2
muscle organ development (GO:0007517)	1/106	0.42203404227402913	0.5262546555304326	0.7688679106677888	-0.4935901690642186	CRYAB
smoothened signaling pathway (GO:0007224)	1/72	0.31173848478050264	0.45896752526442075	0.6345092655370835	-0.49414047514139203	HHIP
regulation of mitochondrial membrane potential (GO:0051881)	1/31	0.15085778731679475	0.3590482924440789	0.48296975375582085	-0.49470513645668307	BCL2L1
embryonic digestive tract morphogenesis (GO:0048557)	1/21	0.10630126912262297	0.34135867491369254	0.46049947062595276	-0.49495474185023725	FGFR2
